Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Total_Trend_Score,Paper_List_Details
1,2021,재료·에너지공학,1271161,박년배,2,0.17857,"[코로나19 기간 국내 전력 산업의 온실가스 배출 요인분해 분석]
   └ 학회: 한국에너지학회 (IF: 0.37)
--------------------------------
[국내 정부출연 에너지 R&D 기관의 온실가스 배출량 변화 요인 분석]
   └ 학회: 한국에너지학회 (IF: 0.37)"
2,2021,재료·에너지공학,828608682,심지현,1,0.08482100000000001,"[반응성 안료의 DTP공정 적용에 따른 HTPE원단의 태 시뮬레이션 및 염색성 연구]
   └ 학회: 한국염색가공학회 (IF: 0.50)"
3,2021,재료·에너지공학,766333551,이종혁,1,0.08482100000000001,"[반응성 안료의 DTP공정 적용에 따른 HTPE원단의 태 시뮬레이션 및 염색성 연구]
   └ 학회: 한국염색가공학회 (IF: 0.50)"
4,2021,재료·에너지공학,458265575,유성훈,1,0.08482100000000001,"[반응성 안료의 DTP공정 적용에 따른 HTPE원단의 태 시뮬레이션 및 염색성 연구]
   └ 학회: 한국염색가공학회 (IF: 0.50)"
5,2021,재료·에너지공학,381195338,권기환,1,0.08482100000000001,"[반응성 안료의 DTP공정 적용에 따른 HTPE원단의 태 시뮬레이션 및 염색성 연구]
   └ 학회: 한국염색가공학회 (IF: 0.50)"
6,2021,재료·에너지공학,757617731,배진석,1,0.08482100000000001,"[반응성 안료의 DTP공정 적용에 따른 HTPE원단의 태 시뮬레이션 및 염색성 연구]
   └ 학회: 한국염색가공학회 (IF: 0.50)"
7,2021,재료·에너지공학,807622311,장진호,2,0.071431,"[수용해성 사이클로포스파젠 유도체를 이용한 면섬유의 내구성 방염가공]
   └ 학회: 한국염색가공학회 (IF: 0.50)
--------------------------------
[광경화형 사이클로포스파젠 유도체를 이용한 양모섬유의 친환경 내구성 방염가공]
   └ 학회: 한국염색가공학회 (IF: 0.50)"
8,2021,재료·에너지공학,387737018,황도현,1,0.071428,"[열병합 적용 APR1000 원전 시뮬레이션 모델 개발]
   └ 학회: 한국에너지학회 (IF: 0.37)"
9,2021,재료·에너지공학,106327498,박은덕,2,0.066964,"[수소 제조를 위한 암모니아 분해용 촉매 연구동향]
   └ 학회: 한국에너지학회 (IF: 0.37)
--------------------------------
[A Mini-Review on Power-to-Methane Catalysts]
   └ 학회: 한국에너지학회 (IF: 0.37)"
10,2021,재료·에너지공학,937657214,이호진,1,0.066964,"[수소 제조를 위한 암모니아 분해용 촉매 연구동향]
   └ 학회: 한국에너지학회 (IF: 0.37)"
