Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Total_Trend_Score,Paper_List_Details
11,2021,건축공학,564298256,안의순,1,0.223863,"[딥 러닝을 활용한 한국 아파트 단위평면 진화과정 분석]
   └ 학회: 대한건축학회 (IF: 0.54)"
12,2021,건축공학,808236771,김경민,3,0.22263199999999997,"[경안천 용존 산소 예측을 위한 입력 인자 선정 및 기계 학습 모델 비교]
   └ 학회: 대한환경공학회 (IF: 0.67)
--------------------------------
[영흥 풍력발전단지의 풍력발전량 예측을 위한 입력변수 선정 및 인공신경망과 1차원 합성곱 신경망 비교]
   └ 학회: 대한환경공학회 (IF: 0.67)
--------------------------------
[태양광 발전량 예측을 위한 랜덤포레스트와 순환신경망 비교]
   └ 학회: 대한환경공학회 (IF: 0.67)"
13,2021,건축공학,532455632,안종화,3,0.22263199999999997,"[경안천 용존 산소 예측을 위한 입력 인자 선정 및 기계 학습 모델 비교]
   └ 학회: 대한환경공학회 (IF: 0.67)
--------------------------------
[영흥 풍력발전단지의 풍력발전량 예측을 위한 입력변수 선정 및 인공신경망과 1차원 합성곱 신경망 비교]
   └ 학회: 대한환경공학회 (IF: 0.67)
--------------------------------
[태양광 발전량 예측을 위한 랜덤포레스트와 순환신경망 비교]
   └ 학회: 대한환경공학회 (IF: 0.67)"
14,2021,건축공학,423033719,양지원,2,0.22017399999999998,"[지속가능한 도시재생을 위한 공간복지 리빙랩으로써 SH청년건축가 프로젝트의 가치]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[주민참여형 기록화사업을 위한 마을기록단 교육프로그램 연구]
   └ 학회: 대한건축학회 (IF: 0.54)"
15,2021,건축공학,854194046,김창재,3,0.216484,"[국가인프라 우선순위 분석을 통한 북한지역 공간정보구축 로드맵 연구 - 북한지역 접근가능을 전제로 -]
   └ 학회: 한국측량학회 (IF: 0.67)
--------------------------------
[딥러닝에 의한 항공사진 구름 분류 및 탐지 비교 실험]
   └ 학회: 한국측량학회 (IF: 0.67)
--------------------------------
[국내학회지 논문 리뷰를 통한 원격탐사 분야 딥러닝 연구 동향 분석]
   └ 학회: 한국측량학회 (IF: 0.67)"
16,2021,건축공학,731646216,박소영,2,0.216484,"[딥러닝에 의한 항공사진 구름 분류 및 탐지 비교 실험]
   └ 학회: 한국측량학회 (IF: 0.67)
--------------------------------
[국내학회지 논문 리뷰를 통한 원격탐사 분야 딥러닝 연구 동향 분석]
   └ 학회: 한국측량학회 (IF: 0.67)"
17,2021,건축공학,156458475,신상호,2,0.216484,"[딥러닝에 의한 항공사진 구름 분류 및 탐지 비교 실험]
   └ 학회: 한국측량학회 (IF: 0.67)
--------------------------------
[국내학회지 논문 리뷰를 통한 원격탐사 분야 딥러닝 연구 동향 분석]
   └ 학회: 한국측량학회 (IF: 0.67)"
18,2021,건축공학,107003,유재우,4,0.211564,"[도시재생뉴딜사업 수익형 공동이용시설 활성화 요인에 관한 연구]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[경사지 자연발생 무허가 주택 공간 변화 패턴과 생활상 - 부산시 안창마을을 중심으로 -]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[근대기 가축검역 제도 변화와 검역소 건축 특성 - 부산이출우검역소를 중심으로 -]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[도시재생 수익형 공동이용시설 운영 활성화를 위한 사회적기업 참여요인 분석]
   └ 학회: 대한건축학회 (IF: 0.54)"
19,2021,건축공학,437418207,김윤소,2,0.211564,"[도시재생뉴딜사업 수익형 공동이용시설 활성화 요인에 관한 연구]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[도시재생 수익형 공동이용시설 운영 활성화를 위한 사회적기업 참여요인 분석]
   └ 학회: 대한건축학회 (IF: 0.54)"
20,2021,건축공학,699689303,박종기,2,0.211564,"[지방도시의 지역 맞춤형 도시재생 수법의 비교 분석 - 독일 Cottbus시와 한국 창원 TB 사례를 중심으로 -]
   └ 학회: 한국생태환경건축학회 (IF: 0.48)
--------------------------------
[지역자산을 활용한 도시재생의 전략 - 독일 Dresden 도시재생 사례 중심으로 -]
   └ 학회: 한국생태환경건축학회 (IF: 0.48)"
