Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Final_Score,Raw_Trend_Score,Paper_List_Details
11,2022,전기전자공학,1380270,서갑호,5,0.4842,0.569597,"[이동로봇의 안전자율주행을 위한 실내환경에서의 LiDAR 점 데이터군 증강]
   └ 학회: 제어로봇시스템학회 (IF: 0.85)
--------------------------------
[작업용 조끼 착용을 통한 딥 러닝 기반 특정 작업자 인지 효율화 연구]
   └ 학회: 제어로봇시스템학회 (IF: 0.85)
--------------------------------
[샴 네트워크 기반의 적은 데이터셋을 이용한 유사한 형태의 특정 객체 인식 연구]
   └ 학회: 제어로봇시스템학회 (IF: 0.85)
--------------------------------
[AMR 를 이용한 가변적인 관심 대상 객체 추적을 위한 딥러닝 기반 프레임워크]
   └ 학회: 제어로봇시스템학회 (IF: 0.85)
--------------------------------
[어린이를 위한 소셜 로봇의 심리운동 기반 놀이 활동 개발]
   └ 학회: 한국로봇학회(논문지) (IF: 0.57)"
12,2022,전기전자공학,638421974,양견모,4,0.4842,0.569597,"[이동로봇의 안전자율주행을 위한 실내환경에서의 LiDAR 점 데이터군 증강]
   └ 학회: 제어로봇시스템학회 (IF: 0.85)
--------------------------------
[작업용 조끼 착용을 통한 딥 러닝 기반 특정 작업자 인지 효율화 연구]
   └ 학회: 제어로봇시스템학회 (IF: 0.85)
--------------------------------
[샴 네트워크 기반의 적은 데이터셋을 이용한 유사한 형태의 특정 객체 인식 연구]
   └ 학회: 제어로봇시스템학회 (IF: 0.85)
--------------------------------
[AMR 를 이용한 가변적인 관심 대상 객체 추적을 위한 딥러닝 기반 프레임워크]
   └ 학회: 제어로봇시스템학회 (IF: 0.85)"
13,2022,전기전자공학,5417041,이현수,3,0.4775,0.6453209999999999,"[Deep Learning Framework for Spatial Crowdedness Estimation and Comparison Analysis with Machine Learning]
   └ 학회: 한국지능시스템학회 (IF: 0.74)
--------------------------------
[Hybrid Multi-stream Deep Learning-based Nutrient Estimation Framework in Biological Wastewater Treatement]
   └ 학회: 한국지능시스템학회 (IF: 0.74)
--------------------------------
[양자 메커닉스 기반 생성적 적대 신경망을 이용한 데이터 결측치 추정 프레임웍]
   └ 학회: 한국지능시스템학회 (IF: 0.74)"
14,2022,전기전자공학,841811255,하종은,3,0.4548,0.535076,"[객체 검출과 객체 분할 방법의 무인 감시 데이터셋 적용 결과 비교]
   └ 학회: 제어로봇시스템학회 (IF: 0.85)
--------------------------------
[다중 패치를 이용한 트랜스포머 기반 장면 텍스트 인식]
   └ 학회: 제어로봇시스템학회 (IF: 0.85)
--------------------------------
[특징치 플립을 이용한 이미지 분류 모델]
   └ 학회: 제어로봇시스템학회 (IF: 0.85)"
15,2022,전기전자공학,503163780,Eung Joo Lee,3,0.4043,0.6219349999999999,"[Intelligent Activity Recognition based on Improved Convolutional Neural Network]
   └ 학회: 한국멀티미디어학회 (IF: 0.65)
--------------------------------
[Shrimp Quality Detection Method Based on YOLOv4]
   └ 학회: 한국멀티미디어학회 (IF: 0.65)
--------------------------------
[Face Recognition Resear ch Based on Multi-Layer s Residual Unit CNN Model]
   └ 학회: 한국멀티미디어학회 (IF: 0.65)"
16,2022,전기전자공학,159616326,김영재,3,0.3673,0.565144,"[딥러닝 기반 상부위장관 내시경 이미지 자동 분류의 데이터 구성별 성능 분석 연구]
   └ 학회: 한국멀티미디어학회 (IF: 0.65)
--------------------------------
[후두 내시경 영상에서의 성문 분할 및 성대 점막 형태의 정량적 평가]
   └ 학회: 한국멀티미디어학회 (IF: 0.65)
--------------------------------
[딥러닝을 이용한 CT 영상의 간과 종양 분할과 홀로그램 시각화 기법 연구]
   └ 학회: 한국멀티미디어학회 (IF: 0.65)"
17,2022,전기전자공학,696294592,김광기,3,0.3673,0.565144,"[딥러닝 기반 상부위장관 내시경 이미지 자동 분류의 데이터 구성별 성능 분석 연구]
   └ 학회: 한국멀티미디어학회 (IF: 0.65)
--------------------------------
[후두 내시경 영상에서의 성문 분할 및 성대 점막 형태의 정량적 평가]
   └ 학회: 한국멀티미디어학회 (IF: 0.65)
--------------------------------
[딥러닝을 이용한 CT 영상의 간과 종양 분할과 홀로그램 시각화 기법 연구]
   └ 학회: 한국멀티미디어학회 (IF: 0.65)"
18,2022,전기전자공학,762897864,김종찬,6,0.3579,0.5506669999999999,"[객체 추적을 위한 보틀넥 기반 Siam-CNN 알고리즘]
   └ 학회: 한국멀티미디어학회 (IF: 0.65)
--------------------------------
[SARIMA 모델을 이용한 태양광 발전량 예측 연구]
   └ 학회: 한국멀티미디어학회 (IF: 0.65)
--------------------------------
[Siame-FPN기반 객체 특징 추적 알고리즘]
   └ 학회: 한국멀티미디어학회 (IF: 0.65)
--------------------------------
[A Generation and Accuracy Evaluation of Common Metadata Prediction Model Using Public Bicycle Data and Imputation Method]
   └ 학회: 한국멀티미디어학회 (IF: 0.65)
--------------------------------
[다층 퍼셉트론을 이용한 인버터의 효율 감소 진단 모델에 관한 연구]
   └ 학회: 한국멀티미디어학회 (IF: 0.65)
--------------------------------
[일반화 가법모형을 이용한 태양광 발전량 예측 알고리즘]
   └ 학회: 한국멀티미디어학회 (IF: 0.65)"
19,2022,전기전자공학,269955,이인호,4,0.3516,0.639196,"[비직교 다중 접속 기반 이종 네트워크에서 딥러닝 알고리즘을 이용한 사용자 및 전력 할당 기법]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[하향링크 비직교 다중 접속 시스템에서 적은 피드백 오버헤드를 이용하는 자원 할당 기법]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[송신 안테나 선택을 이용하는 하향링크 비직교 다중 접속 시스템에서 아웃티지 개선을 위한 자원 할당 기법]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[이기종 이동통신 네트워크에서 에너지 효율화를 위한 DNN 기반 동적 셀 선택과 송신 전력 할당 기법]
   └ 학회: 한국정보통신학회 (IF: 0.55)"
20,2022,전기전자공학,767043367,강대성,4,0.3489,0.623049,"[NRP-Sys: YOLO 기반 동일 물체 분리 검출을 위한 비선형 회귀 예측 시스템]
   └ 학회: 한국정보기술학회 (IF: 0.56)
--------------------------------
[Severe Weather Traffic Scene Reconstruction using Inherent Augmented Style Encoding Adversarial Network]
   └ 학회: 한국정보기술학회 (IF: 0.56)
--------------------------------
[이종 객체 검출과 중복 라벨링 방식을 활용한 데이터 자동생성 및 객체 인식률 개선 연구]
   └ 학회: 한국정보기술학회 (IF: 0.56)
--------------------------------
[F-guessed 방식과 준지도 학습을 이용한 화재 데이터 생성 및 인식률 개선 연구]
   └ 학회: 한국정보기술학회 (IF: 0.56)"
