Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Total_Trend_Score,Paper_List_Details
1,2022,기타 공학,240692942,김용규,2,0.474576,"[공동접지망으로 건물 철근 구조체를 사용한 신호기계실의 접지전류 특성]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[건물 철근 구조체를 적용한 신호기계실 공동접지망 개량 효과 분석]
   └ 학회: 한국철도학회 (IF: 0.45)"
2,2022,기타 공학,511550133,윤용기,2,0.474576,"[공동접지망으로 건물 철근 구조체를 사용한 신호기계실의 접지전류 특성]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[건물 철근 구조체를 적용한 신호기계실 공동접지망 개량 효과 분석]
   └ 학회: 한국철도학회 (IF: 0.45)"
3,2022,기타 공학,232711,김성진,2,0.474576,"[공동접지망으로 건물 철근 구조체를 사용한 신호기계실의 접지전류 특성]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[건물 철근 구조체를 적용한 신호기계실 공동접지망 개량 효과 분석]
   └ 학회: 한국철도학회 (IF: 0.45)"
4,2022,기타 공학,650356713,김정태,2,0.474576,"[공동접지망으로 건물 철근 구조체를 사용한 신호기계실의 접지전류 특성]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[건물 철근 구조체를 적용한 신호기계실 공동접지망 개량 효과 분석]
   └ 학회: 한국철도학회 (IF: 0.45)"
5,2022,기타 공학,264670349,박채옥,2,0.474576,"[공동접지망으로 건물 철근 구조체를 사용한 신호기계실의 접지전류 특성]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[건물 철근 구조체를 적용한 신호기계실 공동접지망 개량 효과 분석]
   └ 학회: 한국철도학회 (IF: 0.45)"
6,2022,기타 공학,518079249,신영인,2,0.474576,"[공동접지망으로 건물 철근 구조체를 사용한 신호기계실의 접지전류 특성]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[건물 철근 구조체를 적용한 신호기계실 공동접지망 개량 효과 분석]
   └ 학회: 한국철도학회 (IF: 0.45)"
7,2022,기타 공학,311607064,장승호,3,0.35253999999999996,"[휠플랫에 의한 차륜 및 레일 접촉력 수치해석 연구]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[휠플랫에 의한 차륜 및 레일 소음원 파워 수치해석 연구]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[통계에너지해석을 이용한 철도차량 압출패널의 구조음향 성능 해석]
   └ 학회: 한국철도학회 (IF: 0.45)"
8,2022,기타 공학,594381340,윤혁진,4,0.311861,"[열차풍 환경의 드론 조종성능 시험장치 구축]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[드론의 선로변 전자기파 내성 시험장치 구축]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[철도시설물 무인 자동화 점검용 드론의 내풍성 평가 연구]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[자율주행 대중교통 차량의 공사 영역 침범 방지를 위한 인지 기술]
   └ 학회: 한국철도학회 (IF: 0.45)"
9,2022,기타 공학,4022953,김대현,4,0.311861,"[열차풍 환경의 드론 조종성능 시험장치 구축]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[드론의 선로변 전자기파 내성 시험장치 구축]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[철도시설물 무인 자동화 점검용 드론의 내풍성 평가 연구]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[자율주행 대중교통 차량의 공사 영역 침범 방지를 위한 인지 기술]
   └ 학회: 한국철도학회 (IF: 0.45)"
10,2022,기타 공학,747094260,박찬호,4,0.311861,"[열차풍 환경의 드론 조종성능 시험장치 구축]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[드론의 선로변 전자기파 내성 시험장치 구축]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[철도시설물 무인 자동화 점검용 드론의 내풍성 평가 연구]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[자율주행 대중교통 차량의 공사 영역 침범 방지를 위한 인지 기술]
   └ 학회: 한국철도학회 (IF: 0.45)"
11,2022,기타 공학,722927221,권세곤,2,0.257624,"[와전류 탐상을 이용한 Squat 결함의 진전율 평가]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[Squat 결함의 매개변수 분석을 통한 국내 선로별 피로수명평가]
   └ 학회: 한국철도학회 (IF: 0.45)"
12,2022,기타 공학,542855395,서종민,2,0.257624,"[와전류 탐상을 이용한 Squat 결함의 진전율 평가]
   └ 학회: 한국철도학회 (IF: 0.45)
--------------------------------
[Squat 결함의 매개변수 분석을 통한 국내 선로별 피로수명평가]
   └ 학회: 한국철도학회 (IF: 0.45)"
13,2022,기타 공학,288861319,변일무,1,0.237288,"[공동접지망으로 건물 철근 구조체를 사용한 신호기계실의 접지전류 특성]
   └ 학회: 한국철도학회 (IF: 0.45)"
14,2022,기타 공학,958803448,박성수,1,0.237288,"[공동접지망으로 건물 철근 구조체를 사용한 신호기계실의 접지전류 특성]
   └ 학회: 한국철도학회 (IF: 0.45)"
