Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Final_Score,Raw_Trend_Score,Paper_List_Details
1,2025,컴퓨터학,696119555,김건동,5,1.4504,1.133089,"한국디지털콘텐츠학회 (NODE12341990, IF: 1.28)
한국디지털콘텐츠학회 (NODE12091190, IF: 1.28)
한국디지털콘텐츠학회 (NODE12408862, IF: 1.28)
한국디지털콘텐츠학회 (NODE12124213, IF: 1.28)
한국디지털콘텐츠학회 (NODE12152254, IF: 1.28)"
2,2025,컴퓨터학,112619693,권보람,2,0.7447,0.47135000000000005,"한국전자거래학회 (NODE12354335, IF: 1.58)
한국전자거래학회 (NODE12101229, IF: 1.58)"
3,2025,컴퓨터학,411188298,우탁,7,0.6388,0.499073,"한국디지털콘텐츠학회 (NODE12091191, IF: 1.28)
한국디지털콘텐츠학회 (NODE12267715, IF: 1.28)
한국디지털콘텐츠학회 (NODE12124201, IF: 1.28)
한국디지털콘텐츠학회 (NODE12124216, IF: 1.28)
한국디지털콘텐츠학회 (NODE12039219, IF: 1.28)
한국디지털콘텐츠학회 (NODE12039223, IF: 1.28)
한국디지털콘텐츠학회 (NODE12091175, IF: 1.28)"
4,2025,컴퓨터학,149046435,강지영,3,0.6223,0.486138,"한국디지털콘텐츠학회 (NODE12341999, IF: 1.28)
한국디지털콘텐츠학회 (NODE12124202, IF: 1.28)
한국디지털콘텐츠학회 (NODE12091180, IF: 1.28)"
5,2025,컴퓨터학,442471954,김유진,3,0.5779,0.713495,"한국컴퓨터정보학회 (NODE12296075, IF: 0.81)
한국컴퓨터정보학회 (NODE12296077, IF: 0.81)
한국컴퓨터정보학회 (NODE12087147, IF: 0.81)"
6,2025,컴퓨터학,645761159,이형석,3,0.5779,0.713495,"한국컴퓨터정보학회 (NODE12296075, IF: 0.81)
한국컴퓨터정보학회 (NODE12296077, IF: 0.81)
한국컴퓨터정보학회 (NODE12087147, IF: 0.81)"
7,2025,컴퓨터학,833101275,권보민,2,0.5749,0.44916900000000004,"한국디지털콘텐츠학회 (NODE12341990, IF: 1.28)
한국디지털콘텐츠학회 (NODE12408862, IF: 1.28)"
8,2025,컴퓨터학,984160680,원종윤,3,0.5678,0.443624,"한국디지털콘텐츠학회 (NODE12124205, IF: 1.28)
한국디지털콘텐츠학회 (NODE12482401, IF: 1.28)
한국디지털콘텐츠학회 (NODE12152248, IF: 1.28)"
9,2025,컴퓨터학,581674470,황효현,2,0.5678,0.443624,"한국디지털콘텐츠학회 (NODE12434534, IF: 1.28)
한국디지털콘텐츠학회 (NODE12296262, IF: 1.28)"
10,2025,컴퓨터학,449357864,임수연,2,0.5678,0.443624,"한국디지털콘텐츠학회 (NODE12091199, IF: 1.28)
한국디지털콘텐츠학회 (NODE12408871, IF: 1.28)"
11,2025,컴퓨터학,836625578,임진호,2,0.5678,0.443624,"한국디지털콘텐츠학회 (NODE12482403, IF: 1.28)
한국디지털콘텐츠학회 (NODE12434511, IF: 1.28)"
12,2025,컴퓨터학,191993582,홍복실,2,0.5312,0.41497300000000004,"한국디지털콘텐츠학회 (NODE12341992, IF: 1.28)
한국디지털콘텐츠학회 (NODE12342003, IF: 1.28)"
13,2025,컴퓨터학,991969986,김귀훈,10,0.4866,0.600738,"한국컴퓨터정보학회 (NODE12336980, IF: 0.81)
한국컴퓨터정보학회 (NODE12336981, IF: 0.81)
한국컴퓨터정보학회 (NODE12432009, IF: 0.81)
한국컴퓨터정보학회 (NODE12296080, IF: 0.81)
한국컴퓨터정보학회 (NODE12206739, IF: 0.81)
한국컴퓨터정보학회 (NODE12206740, IF: 0.81)
한국컴퓨터정보학회 (NODE12263476, IF: 0.81)
한국컴퓨터정보학회 (NODE12087156, IF: 0.81)
한국컴퓨터정보학회 (NODE12038635, IF: 0.81)
한국컴퓨터정보학회 (NODE12038636, IF: 0.81)"
14,2025,컴퓨터학,338719801,김종성,6,0.4634,0.6654359999999999,"한국정보보호학회 (NODE12431101, IF: 0.41)
한국디지털포렌식학회 (NODE12464780, IF: 0.72)
한국디지털포렌식학회 (NODE12293289, IF: 0.72)
한국디지털포렌식학회 (NODE12293290, IF: 0.72)
한국디지털포렌식학회 (NODE12109045, IF: 0.72)
한국디지털포렌식학회 (NODE12172010, IF: 0.72)"
15,2025,컴퓨터학,918391399,민자경,6,0.4365,0.341036,"한국디지털콘텐츠학회 (NODE12408856, IF: 1.28)
한국디지털콘텐츠학회 (NODE12482407, IF: 1.28)
한국디지털콘텐츠학회 (NODE12039204, IF: 1.28)
한국디지털콘텐츠학회 (NODE12434516, IF: 1.28)
한국디지털콘텐츠학회 (NODE12194024, IF: 1.28)
한국디지털콘텐츠학회 (NODE12194005, IF: 1.28)"
16,2025,컴퓨터학,538630440,전지현,2,0.4282,0.334564,"한국디지털콘텐츠학회 (NODE12091195, IF: 1.28)
한국디지털콘텐츠학회 (NODE12434524, IF: 1.28)"
17,2025,컴퓨터학,657991424,박수형,2,0.4282,0.334564,"한국디지털콘텐츠학회 (NODE12091195, IF: 1.28)
한국디지털콘텐츠학회 (NODE12434524, IF: 1.28)"
18,2025,컴퓨터학,810243432,김철홍,2,0.4022,0.314232,"한국디지털콘텐츠학회 (NODE12124214, IF: 1.28)
한국디지털콘텐츠학회 (NODE12408875, IF: 1.28)"
19,2025,컴퓨터학,143991450,강아영,1,0.3857,0.301294,"한국디지털콘텐츠학회 (NODE12342000, IF: 1.28)"
20,2025,컴퓨터학,844776287,김태훈,3,0.3667,0.286507,"한국디지털콘텐츠학회 (NODE12267733, IF: 1.28)
한국디지털콘텐츠학회 (NODE12039217, IF: 1.28)
한국디지털콘텐츠학회 (NODE12091178, IF: 1.28)"
21,2025,컴퓨터학,544761986,정회경,2,0.3667,0.28650600000000004,"한국디지털콘텐츠학회 (NODE12124203, IF: 1.28)
한국디지털콘텐츠학회 (NODE12152262, IF: 1.28)"
22,2025,컴퓨터학,971031091,이세종,3,0.3646,0.450093,"한국컴퓨터정보학회 (NODE12206716, IF: 0.81)
한국컴퓨터정보학회 (NODE12121920, IF: 0.81)
한국컴퓨터정보학회 (NODE12481171, IF: 0.81)"
23,2025,컴퓨터학,4613490,김형진,1,0.3505,0.221812,"한국전자거래학회 (NODE12354335, IF: 1.58)"
24,2025,컴퓨터학,199188920,Sungwook Yoon,1,0.3505,0.221812,"한국전자거래학회 (NODE12354335, IF: 1.58)"
25,2025,컴퓨터학,744480,김기범,9,0.3418,0.518486,"한국디지털포렌식학회 (NODE12464775, IF: 0.72)
한국디지털포렌식학회 (NODE12464777, IF: 0.72)
한국디지털포렌식학회 (NODE12293293, IF: 0.72)
한국정보보호학회 (NODE12148082, IF: 0.41)
한국정보보호학회 (NODE12148094, IF: 0.41)
한국디지털포렌식학회 (NODE12109043, IF: 0.72)
한국디지털포렌식학회 (NODE12109044, IF: 0.72)
한국디지털포렌식학회 (NODE12172006, IF: 0.72)
한국디지털포렌식학회 (NODE12172009, IF: 0.72)"
26,2025,컴퓨터학,162201111,민태호,2,0.3414,0.4214420000000001,"한국컴퓨터정보학회 (NODE12296069, IF: 0.81)
한국컴퓨터정보학회 (NODE12087155, IF: 0.81)"
27,2025,컴퓨터학,297891639,배현영,3,0.3372,0.263402,"한국디지털콘텐츠학회 (NODE12342005, IF: 1.28)
한국디지털콘텐츠학회 (NODE12267719, IF: 1.28)
한국디지털콘텐츠학회 (NODE12296278, IF: 1.28)"
28,2025,컴퓨터학,820617928,권경아,2,0.3241,0.253236,"한국디지털콘텐츠학회 (NODE12296277, IF: 1.28)
한국디지털콘텐츠학회 (NODE12152251, IF: 1.28)"
29,2025,컴퓨터학,1823710,박명철,3,0.3234,0.39926000000000006,"한국컴퓨터정보학회 (NODE12336982, IF: 0.81)
한국컴퓨터정보학회 (NODE12403654, IF: 0.81)
한국컴퓨터정보학회 (NODE12481152, IF: 0.81)"
30,2025,컴퓨터학,566726616,최완석,2,0.3189,0.39371500000000004,"한국컴퓨터정보학회 (NODE12336982, IF: 0.81)
한국컴퓨터정보학회 (NODE12403654, IF: 0.81)"
31,2025,컴퓨터학,952142806,TaeSeok Choi,2,0.3189,0.39371500000000004,"한국컴퓨터정보학회 (NODE12336982, IF: 0.81)
한국컴퓨터정보학회 (NODE12403654, IF: 0.81)"
32,2025,컴퓨터학,294240138,Seoyoon Heo,2,0.3189,0.39371500000000004,"한국컴퓨터정보학회 (NODE12336982, IF: 0.81)
한국컴퓨터정보학회 (NODE12403654, IF: 0.81)"
33,2025,컴퓨터학,487315968,우용태,2,0.3107,0.38354900000000003,"한국컴퓨터정보학회 (NODE12263455, IF: 0.81)
한국컴퓨터정보학회 (NODE12206726, IF: 0.81)"
34,2025,컴퓨터학,978082054,최재은,1,0.3099,0.24214400000000003,"한국디지털콘텐츠학회 (NODE12482412, IF: 1.28)"
35,2025,컴퓨터학,955073539,박소은,1,0.3005,0.23475100000000002,"한국디지털콘텐츠학회 (NODE12124213, IF: 1.28)"
36,2025,컴퓨터학,125048094,강석민,2,0.2969,0.23197800000000002,"한국디지털콘텐츠학회 (NODE12267744, IF: 1.28)
한국디지털콘텐츠학회 (NODE12296283, IF: 1.28)"
37,2025,컴퓨터학,771316125,문지용,1,0.2969,0.23197800000000002,"한국디지털콘텐츠학회 (NODE12124220, IF: 1.28)"
38,2025,컴퓨터학,911698791,김성백,1,0.2969,0.23197800000000002,"한국디지털콘텐츠학회 (NODE12124220, IF: 1.28)"
39,2025,컴퓨터학,448386367,박진철,3,0.2961,0.411276,"한국디지털포렌식학회 (NODE12464780, IF: 0.72)
한국디지털포렌식학회 (NODE12293290, IF: 0.72)
한국디지털포렌식학회 (NODE12109045, IF: 0.72)"
40,2025,컴퓨터학,544811971,윤승욱,1,0.291,0.227357,"한국디지털콘텐츠학회 (NODE12342004, IF: 1.28)"
