Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Final_Score,Raw_Trend_Score,Paper_List_Details
1,2025,전기전자공학,137906795,이상준,3,0.3915,0.466013,"제어로봇시스템학회 (NODE12341926, IF: 0.84)
제어로봇시스템학회 (NODE12125026, IF: 0.84)
제어로봇시스템학회 (NODE12406315, IF: 0.84)"
2,2025,전기전자공학,775025667,김선영,4,0.2587,0.308022,"제어로봇시스템학회 (NODE12042553, IF: 0.84)
제어로봇시스템학회 (NODE12272370, IF: 0.84)
제어로봇시스템학회 (NODE12094302, IF: 0.84)
제어로봇시스템학회 (NODE12094303, IF: 0.84)"
3,2025,전기전자공학,841811255,하종은,3,0.2448,0.291488,"제어로봇시스템학회 (NODE12341925, IF: 0.84)
제어로봇시스템학회 (NODE12125019, IF: 0.84)
제어로봇시스템학회 (NODE12406310, IF: 0.84)"
4,2025,전기전자공학,354591417,전현식,2,0.2448,0.291488,"제어로봇시스템학회 (NODE12125019, IF: 0.84)
제어로봇시스템학회 (NODE12406310, IF: 0.84)"
5,2025,전기전자공학,633988262,임태호,3,0.2369,0.563993,"한국정보통신학회 (NODE12479980, IF: 0.42)
한국정보통신학회 (NODE12195165, IF: 0.42)
한국정보통신학회 (NODE12120427, IF: 0.42)"
6,2025,전기전자공학,128185540,이상현,2,0.2369,0.563993,"한국정보통신학회 (NODE12479980, IF: 0.42)
한국정보통신학회 (NODE12195165, IF: 0.42)"
7,2025,전기전자공학,173452777,황면중,6,0.2351,0.279853,"제어로봇시스템학회 (NODE12434649, IF: 0.84)
제어로봇시스템학회 (NODE12300122, IF: 0.84)
제어로봇시스템학회 (NODE12300124, IF: 0.84)
한국로봇학회(논문지) (NODE12317516, IF: 0.44)
한국로봇학회 (NODE12475941, IF: 0.44)
제어로봇시스템학회 (NODE12094301, IF: 0.84)"
8,2025,전기전자공학,291860533,홍진근,8,0.2332,0.582974,"국제인공지능학회 (NODE12275817, IF: 0.4)
국제인공지능학회 (NODE12275828, IF: 0.4)
국제인공지능학회 (NODE12275851, IF: 0.4)
국제인공지능학회 (NODE12275998, IF: 0.4)
국제인공지능학회 (NODE12276010, IF: 0.4)
국제인공지능학회 (NODE12276138, IF: 0.4)
국제인공지능학회 (NODE12276152, IF: 0.4)
국제인공지능학회 (NODE12276170, IF: 0.4)"
9,2025,전기전자공학,108578504,김영민,3,0.2253,0.268218,"제어로봇시스템학회 (NODE12434649, IF: 0.84)
한국로봇학회 (NODE12475941, IF: 0.44)
제어로봇시스템학회 (NODE12094301, IF: 0.84)"
10,2025,전기전자공학,146293560,이동우,3,0.2253,0.268218,"제어로봇시스템학회 (NODE12434649, IF: 0.84)
한국로봇학회 (NODE12475941, IF: 0.44)
제어로봇시스템학회 (NODE12094301, IF: 0.84)"
11,2025,전기전자공학,954400108,이석훈,4,0.223,0.35395,"한국정보기술학회 (NODE12295669, IF: 0.63)
한국정보기술학회 (NODE12087560, IF: 0.63)
한국정보기술학회 (NODE12087579, IF: 0.63)
한국정보기술학회 (NODE12087580, IF: 0.63)"
12,2025,전기전자공학,451897418,채승병,4,0.2199,0.536436,"한국전자파학회 (NODE12355900, IF: 0.41)
한국전자파학회 (NODE12331288, IF: 0.41)
한국전자파학회 (NODE12331292, IF: 0.41)
한국전자파학회 (NODE12354409, IF: 0.41)"
13,2025,전기전자공학,240829772,이하림,3,0.2186,0.481935,"한국정보기술학회 (NODE12087564, IF: 0.63)
대한전기학회 (NODE12126283, IF: 0.32)
대한전기학회 (NODE12023455, IF: 0.32)"
14,2025,전기전자공학,601567562,Xiao Wang,1,0.2058,0.5143909999999999,"국제인공지능학회 (NODE12206563, IF: 0.4)"
15,2025,전기전자공학,719357764,나형종,1,0.2058,0.5143909999999999,"국제인공지능학회 (NODE12206563, IF: 0.4)"
16,2025,전기전자공학,815595478,김형준,1,0.2058,0.5143909999999999,"국제인공지능학회 (NODE12206563, IF: 0.4)"
17,2025,전기전자공학,605293615,인치호,1,0.2058,0.5143909999999999,"국제인공지능학회 (NODE12206563, IF: 0.4)"
18,2025,전기전자공학,146991175,손채봉,6,0.2029,0.439069,"한국지능시스템학회 (NODE12370100, IF: 0.47)
한국지능시스템학회 (NODE12431169, IF: 0.47)
한국지능시스템학회 (NODE12431170, IF: 0.47)
국제인공지능학회 (NODE12276289, IF: 0.4)
대한전자공학회 (NODE12418677, IF: 0.26)
국제인공지능학회 (NODE12276302, IF: 0.4)"
19,2025,전기전자공학,584918933,김희철,6,0.2022,0.48132299999999995,"한국정보통신학회JICCE (NODE12266409, IF: 0.42)
한국정보통신학회 (NODE12479983, IF: 0.42)
한국정보통신학회 (NODE12195157, IF: 0.42)
한국정보통신학회 (NODE12087163, IF: 0.42)
한국정보통신학회 (NODE12087169, IF: 0.42)
한국정보통신학회 (NODE12337420, IF: 0.42)"
20,2025,전기전자공학,364973163,채명호,6,0.2006,0.573178,"한국통신학회 (NODE12077540, IF: 0.35)
한국통신학회 (NODE12138764, IF: 0.35)
한국통신학회 (NODE12138766, IF: 0.35)
한국통신학회 (NODE12138767, IF: 0.35)
한국통신학회 (NODE12107469, IF: 0.35)
한국전자파학회JEES (NODE12120801, IF: 0.41)"
21,2025,전기전자공학,762900643,강창구,6,0.1925,0.305572,"한국정보기술학회 (NODE12150175, IF: 0.63)
한국정보기술학회 (NODE12150176, IF: 0.63)
한국정보기술학회 (NODE12087581, IF: 0.63)
한국정보기술학회 (NODE12433753, IF: 0.63)
한국정보기술학회 (NODE12194107, IF: 0.63)
한국정보기술학회 (NODE12120699, IF: 0.63)"
22,2025,전기전자공학,802498208,김형남,4,0.1878,0.536436,"한국통신학회 (NODE12430527, IF: 0.35)
한국통신학회 (NODE12430528, IF: 0.35)
한국통신학회 (NODE12458234, IF: 0.35)
대한전자공학회 (NODE12117468, IF: 0.26)"
23,2025,전기전자공학,356832345,최세운,3,0.1862,0.443355,"한국정보통신학회 (NODE12432321, IF: 0.42)
한국정보통신학회 (NODE12479991, IF: 0.42)
한국정보통신학회 (NODE12432325, IF: 0.42)"
24,2025,전기전자공학,737578381,백윤주,3,0.1831,0.436006,"한국정보통신학회 (NODE12087166, IF: 0.42)
한국정보통신학회 (NODE12337408, IF: 0.42)
한국방송·미디어공학회 (NODE12154064, IF: 0.43)"
25,2025,전기전자공학,925440013,이호섭,2,0.1771,0.281077,"한국정보기술학회 (NODE12087564, IF: 0.63)
한국정보기술학회 (NODE12433754, IF: 0.63)"
26,2025,전기전자공학,750566018,조현종,4,0.177,0.55297,"대한전기학회 (NODE12239280, IF: 0.32)
대한전기학회 (NODE12057860, IF: 0.32)
대한전기학회 (NODE12023453, IF: 0.32)
대한전기학회 (NODE12023454, IF: 0.32)"
27,2025,전기전자공학,151165309,정경용,3,0.1746,0.279241,"대한전기학회 (NODE12434690, IF: 0.32)
한국정보기술학회 (NODE12475583, IF: 0.63)
한국정보기술학회 (NODE12399059, IF: 0.63)"
28,2025,전기전자공학,472418935,박희숙,2,0.1713,0.40783800000000003,"한국정보통신학회 (NODE12038854, IF: 0.42)
한국정보통신학회 (NODE12120425, IF: 0.42)"
29,2025,전기전자공학,645027040,김현서,1,0.1713,0.20391900000000002,"제어로봇시스템학회 (NODE12485789, IF: 0.84)"
30,2025,전기전자공학,140652639,홍석민,1,0.1713,0.20391900000000002,"제어로봇시스템학회 (NODE12485789, IF: 0.84)"
31,2025,전기전자공학,111443241,강병전,1,0.1713,0.20391900000000002,"제어로봇시스템학회 (NODE12485789, IF: 0.84)"
