Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Total_Trend_Score,Paper_List_Details
1,2023,기타 공학,746734419,이성진,3,0.287882,"[초음파 토모그래피를 활용한 터널 라이닝 콘크리트 배면공동의 그라우팅 상태 평가]
   └ 학회: 한국철도학회 (IF: 0.39)
--------------------------------
[저주파 GPR 신호변화를 이용한 무근 터널 라이닝 배면 공동 크기 추정 연구]
   └ 학회: 한국철도학회 (IF: 0.39)
--------------------------------
[초음파 토모그래피 다중반사 분석을 통한 콘크리트 벽체 배면 그라우트 충전 두께 평가]
   └ 학회: 한국철도학회 (IF: 0.39)"
2,2023,기타 공학,971439421,기성훈,3,0.287882,"[초음파 토모그래피를 활용한 터널 라이닝 콘크리트 배면공동의 그라우팅 상태 평가]
   └ 학회: 한국철도학회 (IF: 0.39)
--------------------------------
[저주파 GPR 신호변화를 이용한 무근 터널 라이닝 배면 공동 크기 추정 연구]
   └ 학회: 한국철도학회 (IF: 0.39)
--------------------------------
[초음파 토모그래피 다중반사 분석을 통한 콘크리트 벽체 배면 그라우트 충전 두께 평가]
   └ 학회: 한국철도학회 (IF: 0.39)"
3,2023,기타 공학,949702821,구병춘,2,0.12121600000000002,"[플랜지 육성용접 화물열차 차륜의 잔류응력 측정]
   └ 학회: 한국철도학회 (IF: 0.39)
--------------------------------
[영업중인 화물열차 차륜의 열 내구성 평가]
   └ 학회: 한국철도학회 (IF: 0.39)"
4,2023,기타 공학,200146137,권석진,2,0.12121600000000002,"[플랜지 육성용접 화물열차 차륜의 잔류응력 측정]
   └ 학회: 한국철도학회 (IF: 0.39)
--------------------------------
[영업중인 화물열차 차륜의 열 내구성 평가]
   └ 학회: 한국철도학회 (IF: 0.39)"
5,2023,기타 공학,2220959,정성용,2,0.102272,"[SHAP과 Elliptic Bivariate Relationship을 이용한 설명가능한 교통량 예측모형 개발]
   └ 학회: 대한교통학회 (IF: 1.23)
--------------------------------
[생존분석을 활용한 어린이 보호구역 내 단속카메라 영향권 설정에 관한 연구]
   └ 학회: 대한교통학회 (IF: 1.23)"
6,2023,기타 공학,471757367,이청원,2,0.102272,"[SHAP과 Elliptic Bivariate Relationship을 이용한 설명가능한 교통량 예측모형 개발]
   └ 학회: 대한교통학회 (IF: 1.23)
--------------------------------
[생존분석을 활용한 어린이 보호구역 내 단속카메라 영향권 설정에 관한 연구]
   └ 학회: 대한교통학회 (IF: 1.23)"
7,2023,기타 공학,639870148,민건규,1,0.094696,"[SHAP과 Elliptic Bivariate Relationship을 이용한 설명가능한 교통량 예측모형 개발]
   └ 학회: 대한교통학회 (IF: 1.23)"
8,2023,기타 공학,949029896,가동주,1,0.094696,"[SHAP과 Elliptic Bivariate Relationship을 이용한 설명가능한 교통량 예측모형 개발]
   └ 학회: 대한교통학회 (IF: 1.23)"
9,2023,기타 공학,5494330,김주영,1,0.094696,"[Vision Transformer와 Graph Convolutional Network를 이용한 넘어짐 검출]
   └ 학회: 한국철도학회 (IF: 0.39)"
10,2023,기타 공학,294002629,이종혁,1,0.094696,"[Vision Transformer와 Graph Convolutional Network를 이용한 넘어짐 검출]
   └ 학회: 한국철도학회 (IF: 0.39)"
11,2023,기타 공학,947020143,이희성,1,0.094696,"[Vision Transformer와 Graph Convolutional Network를 이용한 넘어짐 검출]
   └ 학회: 한국철도학회 (IF: 0.39)"
