Year,Class_Name,Top_10_List
2023,기계공학,"김동욱 (0.1896)
박준필 (0.1333)
이재선 (0.1333)
박상철 (0.1307)
이기한 (0.1238)
안상현 (0.1188)
조은성 (0.1109)
조수용 (0.1024)
조종현 (0.1001)
박영현 (0.0978)"
2023,기타 공학,"정성용 (0.1258)
이청원 (0.1258)
민건규 (0.1165)
가동주 (0.1165)
이성진 (0.1123)
기성훈 (0.1123)
오철 (0.0839)
조영 (0.0839)
여화수 (0.0652)
이희성 (0.0576)"
2023,산업공학,"김재경 (0.48)
손수진 (0.4385)
최인호 (0.4385)
이민영 (0.4385)
김인영 (0.4385)
최지우 (0.4385)
최상현 (0.3923)
류동엽 (0.3831)
이흠철 (0.3831)
조성주 (0.3831)"
2023,재료·에너지공학,"정남균 (0.1167)
차균호 (0.0909)
김홍진 (0.0789)
조영철 (0.0789)
심가희 (0.0635)
박준영 (0.0453)
김정기 (0.0453)
정상국 (0.0363)
김형섭 (0.0363)
곽민석 (0.0363)"
2023,전기전자공학,"오하영 (0.5089)
심재창 (0.4677)
하영서 (0.4677)
박대우 (0.4633)
하종은 (0.4083)
전왕수 (0.3637)
이상용 (0.3637)
이재문 (0.3503)
정인환 (0.3503)
황기태 (0.3503)"
2023,조선해양공학,"이성욱 (0.0388)
남보우 (0.0277)
Jae Hyuk Choi (0.0277)
Zhenhao Song (0.0277)
Woo-Jin Park (0.0277)
박동수 (0.0277)
신문범 (0.0277)
서영교 (0.0277)
안진형 (0.0277)
JangRyong Shin (0.0222)"
2023,컴퓨터학,"김강석 (2.2356)
심기천 (0.9696)
윤태영 (0.9491)
강주영 (0.9491)
조풍진 (0.9475)
김예은 (0.8773)
박정흠 (0.8646)
최승호 (0.8552)
김경민 (0.8007)
임상훈 (0.8007)"
2023,화학공학,"Shengpeng Zhan (0.0888)
Tian Yang (0.0888)
Dan Jia (0.0888)
Jiesong Tu (0.0888)
lixin Ma (0.0888)
Bingxue Cheng (0.0888)
Duan Haitao (0.0888)
Ruize Li (0.0888)
허강무 (0.0296)
김성곤 (0.0296)"
2024,건축공학,"구형모 (0.4935)
고태영 (0.3774)
장수호 (0.3747)
강태호 (0.3747)
최순욱 (0.3747)
이재혁 (0.3672)
이예지 (0.3378)
나이슬 (0.3378)
손영규 (0.3378)
정석희 (0.284)"
2024,공학 일반,"조성제 (0.3675)
신은숙 (0.2461)
이병록 (0.2165)
정민경 (0.1952)
박재표 (0.1936)
김두리 (0.187)
김종임 (0.1821)
박지연 (0.1772)
정효정 (0.1755)
조영미 (0.1706)"
2024,기계공학,"김지혜 (0.0964)
함승호 (0.0964)
정보성 (0.0964)
최낙정 (0.0915)
이상협 (0.0915)
박세익 (0.0915)
박정극 (0.0915)
김규태 (0.0776)
유승관 (0.0725)
김승모 (0.0725)"
2024,기타 공학,"오철 (0.1167)
박준영 (0.0934)
고지은 (0.0778)
김정화 (0.0778)
주윤호 (0.0778)
강우석 (0.0778)
송태진 (0.0739)
곽호찬 (0.0719)
박영곤 (0.0553)
임희섭 (0.0545)"
2024,산업공학,"권상지 (0.3634)
박웅 (0.3634)
조남욱 (0.3634)
문혜정 (0.3634)
Tamer Abuhmed (0.3634)
Shaker El-Sappagh (0.3634)
Firuz Juraev (0.3634)
Amirhossein Danesh (0.3634)
이다현 (0.3634)
이은서 (0.3634)"
2024,재료·에너지공학,"김경수 (0.0481)
모하메드 아부 사져 (0.0407)
노민수 (0.0407)
김진혁 (0.0407)
박진주 (0.0262)
이준신 (0.0262)
안동규 (0.025)
전만수 (0.0229)
오민성 (0.0229)
김성 (0.0192)"
2024,전기전자공학,"신영학 (0.4208)
Soo Young Shin (0.3042)
김동주 (0.2933)
이창엽 (0.2933)
황도경 (0.2933)
정현진 (0.2837)
임창현 (0.2817)
이한주 (0.2812)
최석환 (0.2779)
김광남 (0.2779)"
2024,조선해양공학,"정광효 (0.0643)
허상환 (0.0643)
구원철 (0.0643)
Seonghee Yu (0.0643)
Sanghun Lee (0.0643)
Seong Yun Shin (0.0643)
Seonghyun Park (0.0643)
Heung Jin Park (0.0643)
강윤정 (0.0643)
Sung Boo Park (0.0643)"
2024,컴퓨터학,"김관호 (1.356)
김진영 (1.0083)
김남호 (0.9524)
최광미 (0.9524)
유우식 (0.8306)
유광현 (0.7709)
손태식 (0.7508)
이수창 (0.7278)
강지영 (0.6268)
Seung-Soo Shin (0.6081)"
2024,화학공학,"손성윤 (0.1189)
홍세화 (0.1189)
문성모 (0.1189)
Dieu Minh Ngo (0.1189)
Hyeokgi Hong (0.1189)
Sehan Yoon (0.1189)
Hyun Min Jung (0.1189)
정우택 (0.1189)
서양곤 (0.0812)
김기준 (0.0676)"
2025,건축공학,"김성준 (0.6223)
박용균 (0.6223)
이송은 (0.3838)
정아현 (0.3838)
조예원 (0.3838)
정세윤 (0.3838)
오근영 (0.3755)
박민재 (0.3617)
이창환 (0.3617)
이수기 (0.331)"
2025,공학 일반,"최석현 (0.32)
박철환 (0.2433)
박동진 (0.1933)
조성제 (0.1883)
김신향 (0.175)
김성봉 (0.1533)
마정목 (0.1517)
김종임 (0.1433)
김수현 (0.1367)
이승록 (0.1367)"
2025,기계공학,"채유진 (0.0986)
김민기 (0.0986)
박진수 (0.0986)
윤준섭 (0.0687)
황세윤 (0.0684)
이원구 (0.0684)
이장현 (0.0684)
명인선 (0.0684)
박영환 (0.0664)
Inyoung Song (0.0617)"
2025,기타 공학,"한은서 (0.1302)
박호철 (0.1302)
한우진 (0.1261)
장태연 (0.1261)
김창수 (0.1261)
김태준 (0.0692)
김정화 (0.0692)
주윤호 (0.0692)
이규진 (0.0692)
류인곤 (0.0692)"
2025,산업공학,"이청용 (0.3699)
박선우 (0.2487)
김재경 (0.1722)
이흠철 (0.1722)
우수현 (0.1722)
김려 (0.1722)
김재경 (0.153)
오영일 (0.1459)
박준수 (0.1459)
한승규 (0.1459)"
2025,재료·에너지공학,"박은덕 (0.0441)
김경수 (0.0352)
조찬민 (0.0302)
이동규 (0.0302)
심욱 (0.0302)
이광규 (0.0251)
황보현 (0.022)
윤흥수 (0.022)
김한봄 (0.022)
우수경 (0.022)"
2025,전기전자공학,"이상준 (0.3915)
김선영 (0.2587)
하종은 (0.2448)
전현식 (0.2448)
임태호 (0.2369)
이상현 (0.2369)
황면중 (0.2351)
홍진근 (0.2332)
김영민 (0.2253)
이동우 (0.2253)"
2025,조선해양공학,"Joonmo Choung (0.1626)
Alberto Peña (0.0887)
Doyoung Kwon (0.0887)
Iñigo Albaina (0.0887)
Jesús María Blanco (0.0887)
Gustavo Adolfo Esteban (0.0887)
Iñigo Bidaguren (0.0887)
Urko Izquierdo (0.0887)
Sang-Rai Cho (0.0887)
Youngsik Jang (0.0887)"
2025,컴퓨터학,"김건동 (1.4504)
권보람 (0.7447)
우탁 (0.6388)
강지영 (0.6223)
김유진 (0.5779)
이형석 (0.5779)
권보민 (0.5749)
원종윤 (0.5678)
황효현 (0.5678)
임수연 (0.5678)"
2025,화학공학,"이지훈 (0.1812)
조형태 (0.1353)
이재원 (0.1353)
허필호 (0.1076)
전상구 (0.0906)
최명찬 (0.0906)
김승연 (0.0906)
이재룡 (0.0906)
이주홍 (0.0906)
임원빈 (0.0906)"
