Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Final_Score,Raw_Trend_Score,Paper_List_Details
1,2021,공학 일반,910088337,조성제,15,0.2429,0.242855,"한국산학기술학회 (NODE10606680, IF: 1.0)
한국산학기술학회 (NODE10542503, IF: 1.0)
한국산학기술학회 (NODE10606730, IF: 1.0)
한국산학기술학회 (NODE10757022, IF: 1.0)
한국산학기술학회 (NODE10572400, IF: 1.0)
한국산학기술학회 (NODE10572411, IF: 1.0)
한국산학기술학회 (NODE10572423, IF: 1.0)
한국산학기술학회 (NODE10594296, IF: 1.0)
한국산학기술학회 (NODE10594300, IF: 1.0)
한국산학기술학회 (NODE10522565, IF: 1.0)
한국산학기술학회 (NODE10583643, IF: 1.0)
한국산학기술학회 (NODE10583659, IF: 1.0)
한국산학기술학회 (NODE10619468, IF: 1.0)
한국산학기술학회 (NODE10619490, IF: 1.0)
한국산학기술학회 (NODE10559881, IF: 1.0)"
2,2021,공학 일반,865170209,장경오,4,0.1821,0.18214199999999997,"한국산학기술학회 (NODE10542505, IF: 1.0)
한국산학기술학회 (NODE10756955, IF: 1.0)
한국산학기술학회 (NODE10572392, IF: 1.0)
한국산학기술학회 (NODE10531976, IF: 1.0)"
3,2021,공학 일반,738052900,장애리,2,0.1339,0.133929,"한국산학기술학회 (NODE10542467, IF: 1.0)
한국산학기술학회 (NODE10619509, IF: 1.0)"
4,2021,공학 일반,320211260,최효식,9,0.1268,0.126784,"한국산학기술학회 (NODE10542486, IF: 1.0)
한국산학기술학회 (NODE10549718, IF: 1.0)
한국산학기술학회 (NODE10572414, IF: 1.0)
한국산학기술학회 (NODE10572428, IF: 1.0)
한국산학기술학회 (NODE10594292, IF: 1.0)
한국산학기술학회 (NODE10666773, IF: 1.0)
한국산학기술학회 (NODE10619470, IF: 1.0)
한국산학기술학회 (NODE10619487, IF: 1.0)
한국산학기술학회 (NODE10559874, IF: 1.0)"
5,2021,공학 일반,4212186,고정훈,5,0.1143,0.11428400000000001,"한국산학기술학회 (NODE10606705, IF: 1.0)
한국산학기술학회 (NODE10542507, IF: 1.0)
한국산학기술학회 (NODE10549710, IF: 1.0)
한국산학기술학회 (NODE10532034, IF: 1.0)
한국산학기술학회 (NODE10583662, IF: 1.0)"
6,2021,공학 일반,1871397,임소희,4,0.1107,0.110715,"한국산학기술학회 (NODE10542456, IF: 1.0)
한국산학기술학회 (NODE10549709, IF: 1.0)
한국산학기술학회 (NODE10522504, IF: 1.0)
한국산학기술학회 (NODE10522562, IF: 1.0)"
7,2021,공학 일반,830923082,박정혜,3,0.1,0.1,"한국산학기술학회 (NODE10606679, IF: 1.0)
한국산학기술학회 (NODE10532004, IF: 1.0)
한국산학기술학회 (NODE10559913, IF: 1.0)"
8,2021,공학 일반,898973871,오은정,2,0.0946,0.09464299999999999,"한국산학기술학회 (NODE10756955, IF: 1.0)
한국산학기술학회 (NODE10531976, IF: 1.0)"
9,2021,공학 일반,411068809,김종임,3,0.0929,0.092858,"한국산학기술학회 (NODE10542461, IF: 1.0)
한국산학기술학회 (NODE10583620, IF: 1.0)
한국산학기술학회 (NODE10559906, IF: 1.0)"
10,2021,공학 일반,688288330,송경미,6,0.0875,0.087499,"한국산학기술학회 (NODE10606730, IF: 1.0)
한국산학기술학회 (NODE10572411, IF: 1.0)
한국산학기술학회 (NODE10594296, IF: 1.0)
한국산학기술학회 (NODE10522565, IF: 1.0)
한국산학기술학회 (NODE10583643, IF: 1.0)
한국산학기술학회 (NODE10619490, IF: 1.0)"
11,2021,공학 일반,524416396,안민희,1,0.0875,0.0875,"한국산학기술학회 (NODE10619509, IF: 1.0)"
12,2021,공학 일반,124227507,구옥희,3,0.0821,0.08214199999999999,"한국산학기술학회 (NODE10572378, IF: 1.0)
한국산학기술학회 (NODE10583622, IF: 1.0)
한국산학기술학회 (NODE10619471, IF: 1.0)"
