Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Final_Score,Raw_Trend_Score,Paper_List_Details
1,2021,기계공학,578837673,김철희,11,0.1925,0.33195600000000003,"대한용접·접합학회 (NODE10595496, IF: 0.58)
대한용접·접합학회 (NODE10571589, IF: 0.58)
대한용접·접합학회 (NODE10621441, IF: 0.58)
대한용접·접합학회 (NODE10534394, IF: 0.58)
대한용접·접합학회 (NODE10534395, IF: 0.58)
대한용접·접합학회 (NODE10534396, IF: 0.58)
대한용접·접합학회 (NODE10534397, IF: 0.58)
대한용접·접합학회 (NODE10534398, IF: 0.58)
대한용접·접합학회 (NODE10534399, IF: 0.58)
대한용접·접합학회 (NODE10818929, IF: 0.58)
대한용접·접합학회 (NODE10818930, IF: 0.58)"
2,2021,기계공학,318746366,현승균,7,0.099,0.170632,"대한용접·접합학회 (NODE10571589, IF: 0.58)
대한용접·접합학회 (NODE10534394, IF: 0.58)
대한용접·접합학회 (NODE10534395, IF: 0.58)
대한용접·접합학회 (NODE10534396, IF: 0.58)
대한용접·접합학회 (NODE10534397, IF: 0.58)
대한용접·접합학회 (NODE10534398, IF: 0.58)
대한용접·접합학회 (NODE10534399, IF: 0.58)"
3,2021,기계공학,356876341,양현익,5,0.0963,0.275079,"한국생산제조학회 (NODE10754280, IF: 0.35)
한국생산제조학회 (NODE10754285, IF: 0.35)
한국생산제조학회 (NODE10592048, IF: 0.35)
한국생산제조학회 (NODE10592052, IF: 0.35)
한국생산제조학회 (NODE10592058, IF: 0.35)"
4,2021,기계공학,481814669,김준성,2,0.0923,0.081697,"(사)한국CDE학회 (NODE10597376, IF: 1.13)
(사)한국CDE학회 (NODE10560854, IF: 1.13)"
5,2021,기계공학,729786667,박형준,2,0.0923,0.081697,"(사)한국CDE학회 (NODE10597376, IF: 1.13)
(사)한국CDE학회 (NODE10560854, IF: 1.13)"
6,2021,기계공학,476682646,윤장혁,2,0.089,0.254396,"한국생산제조학회 (NODE10754285, IF: 0.35)
한국생산제조학회 (NODE10592048, IF: 0.35)"
7,2021,기계공학,127039538,강태원,2,0.089,0.254396,"한국생산제조학회 (NODE10754285, IF: 0.35)
한국생산제조학회 (NODE10592048, IF: 0.35)"
8,2021,기계공학,281326192,이민재,2,0.089,0.254396,"한국생산제조학회 (NODE10754285, IF: 0.35)
한국생산제조학회 (NODE10592048, IF: 0.35)"
9,2021,기계공학,830994215,유현정,3,0.081,0.13960699999999998,"대한용접·접합학회 (NODE10595496, IF: 0.58)
대한용접·접합학회 (NODE10818929, IF: 0.58)
대한용접·접합학회 (NODE10818930, IF: 0.58)"
10,2021,기계공학,2049833,남권우,1,0.0795,0.070321,"(사)한국CDE학회 (NODE10560858, IF: 1.13)"
11,2021,기계공학,794877677,노명일,1,0.0795,0.070321,"(사)한국CDE학회 (NODE10560858, IF: 1.13)"
12,2021,기계공학,652334235,이혜원,1,0.0795,0.070321,"(사)한국CDE학회 (NODE10560858, IF: 1.13)"
13,2021,기계공학,759136225,이원재,1,0.0795,0.070321,"(사)한국CDE학회 (NODE10560858, IF: 1.13)"
14,2021,기계공학,576240209,방희선,3,0.0702,0.120993,"대한용접·접합학회 (NODE10595496, IF: 0.58)
대한용접·접합학회 (NODE10552445, IF: 0.58)
대한용접·접합학회 (NODE10552445, IF: 0.58)"
15,2021,기계공학,475434391,이재철,5,0.0686,0.088935,"(사)한국CDE학회 (NODE10597375, IF: 1.13)
(사)한국CDE학회 (NODE10671866, IF: 1.13)
(사)한국CDE학회 (NODE10671883, IF: 1.13)
(사)한국CDE학회 (NODE10560850, IF: 1.13)
한국마린엔지니어링학회 (NODE10573279, IF: 0.34)"
16,2021,기계공학,263349811,노천명,3,0.0686,0.088935,"(사)한국CDE학회 (NODE10671866, IF: 1.13)
(사)한국CDE학회 (NODE10560850, IF: 1.13)
한국마린엔지니어링학회 (NODE10573279, IF: 0.34)"
17,2021,기계공학,141100913,이수봉,2,0.0686,0.088935,"(사)한국CDE학회 (NODE10671866, IF: 1.13)
한국마린엔지니어링학회 (NODE10573279, IF: 0.34)"
18,2021,기계공학,814390032,이종수,2,0.0678,0.059979,"(사)한국CDE학회 (NODE10533549, IF: 1.13)
(사)한국CDE학회 (NODE10597371, IF: 1.13)"
19,2021,기계공학,478575586,강민성,1,0.0678,0.059979,"(사)한국CDE학회 (NODE10597371, IF: 1.13)"
20,2021,기계공학,867670394,유영민,1,0.0678,0.059979,"(사)한국CDE학회 (NODE10597371, IF: 1.13)"
21,2021,기계공학,116563916,박창규,1,0.0678,0.059979,"(사)한국CDE학회 (NODE10597371, IF: 1.13)"
22,2021,기계공학,106843335,Bin Zhang,1,0.066,0.137539,"한국유체기계학회 (NODE10545358, IF: 0.48)"
23,2021,기계공학,447774680,Chun-xiao Zhao,1,0.066,0.137539,"한국유체기계학회 (NODE10545358, IF: 0.48)"
24,2021,기계공학,378657739,Hao-cen Hong,1,0.066,0.137539,"한국유체기계학회 (NODE10545358, IF: 0.48)"
25,2021,기계공학,947127184,Da-peng Bai,1,0.066,0.137539,"한국유체기계학회 (NODE10545358, IF: 0.48)"
26,2021,기계공학,295665030,Hua-yong Yang,1,0.066,0.137539,"한국유체기계학회 (NODE10545358, IF: 0.48)"
27,2021,기계공학,186195859,신종호,2,0.0655,0.06411700000000001,"(사)한국CDE학회 (NODE10560854, IF: 1.13)
유공압건설기계학회 (NODE10534914, IF: 0.57)"
28,2021,기계공학,337516902,Warjito,1,0.0635,0.13236900000000001,"한국유체기계학회 (NODE10545365, IF: 0.48)"
29,2021,기계공학,915298138,Budiarso,1,0.0635,0.13236900000000001,"한국유체기계학회 (NODE10545365, IF: 0.48)"
30,2021,기계공학,307409422,Muhammad Farhan Syahputra,1,0.0635,0.13236900000000001,"한국유체기계학회 (NODE10545365, IF: 0.48)"
31,2021,기계공학,201919620,Sanjaya BS Nasution,1,0.0635,0.13236900000000001,"한국유체기계학회 (NODE10545365, IF: 0.48)"
32,2021,기계공학,192750618,Satoshi Otsuki,1,0.0611,0.127198,"한국유체기계학회 (NODE10584147, IF: 0.48)"
33,2021,기계공학,624798458,Jesline Joy,1,0.0611,0.127198,"한국유체기계학회 (NODE10545363, IF: 0.48)"
34,2021,기계공학,113954544,Michel J. Cervantes,1,0.0611,0.127198,"한국유체기계학회 (NODE10545363, IF: 0.48)"
35,2021,기계공학,356135790,Mehrdad Raisee,1,0.0611,0.127198,"한국유체기계학회 (NODE10545363, IF: 0.48)"
36,2021,기계공학,403266787,서기정,1,0.0584,0.051707,"(사)한국CDE학회 (NODE10560854, IF: 1.13)"
37,2021,기계공학,279456863,김덕봉,1,0.0584,0.051707,"(사)한국CDE학회 (NODE10560854, IF: 1.13)"
38,2021,기계공학,673375417,김영민,4,0.0564,0.097209,"대한용접·접합학회 (NODE10621436, IF: 0.58)
대한용접·접합학회 (NODE10621437, IF: 0.58)
대한용접·접합학회 (NODE10621438, IF: 0.58)
대한용접·접합학회 (NODE10621441, IF: 0.58)"
39,2021,기계공학,747091714,이찬,2,0.056,0.127198,"한국에너지기후변화학회 (NODE10820531, IF: 0.44)
한국유체기계학회 (NODE10610849, IF: 0.48)"
40,2021,기계공학,141316233,이명수,2,0.0552,0.095138,"대한용접·접합학회 (NODE10552435, IF: 0.58)
대한용접·접합학회 (NODE10552436, IF: 0.58)"
41,2021,기계공학,921783743,서정관,2,0.0552,0.095138,"대한용접·접합학회 (NODE10552435, IF: 0.58)
대한용접·접합학회 (NODE10552436, IF: 0.58)"
42,2021,기계공학,900041089,이순섭,3,0.0549,0.048604,"(사)한국CDE학회 (NODE10597375, IF: 1.13)
(사)한국CDE학회 (NODE10671866, IF: 1.13)
(사)한국CDE학회 (NODE10671883, IF: 1.13)"
43,2021,기계공학,590799200,김기관,1,0.0549,0.048604,"(사)한국CDE학회 (NODE10671866, IF: 1.13)"
44,2021,기계공학,439432085,류창국,2,0.0534,0.127198,"한국에너지기후변화학회 (NODE10820532, IF: 0.44)
한국연소학회 (NODE10612012, IF: 0.42)"
45,2021,기계공학,192119416,김경준,1,0.0534,0.127198,"한국동력기계공학회 (NODE10571601, IF: 0.42)"
46,2021,기계공학,489289847,박종민,1,0.0534,0.127198,"한국연소학회 (NODE10612012, IF: 0.42)"
47,2021,기계공학,771068007,강우석,1,0.0534,0.127198,"한국연소학회 (NODE10612012, IF: 0.42)"
48,2021,기계공학,859914830,김량균,1,0.0534,0.127198,"한국연소학회 (NODE10612012, IF: 0.42)"
49,2021,기계공학,495309616,임호,1,0.0534,0.127198,"한국연소학회 (NODE10612012, IF: 0.42)"
50,2021,기계공학,228099457,서호건,4,0.0532,0.161324,"한국비파괴검사학회 (NODE10534153, IF: 0.33)
한국비파괴검사학회 (NODE10574616, IF: 0.33)
한국비파괴검사학회 (NODE10574616, IF: 0.33)
한국소음진동공학회 (NODE10618258, IF: 0.47)"
51,2021,기계공학,766794164,Kidong Lee,2,0.0528,0.091004,"대한용접·접합학회 (NODE10534394, IF: 0.58)
대한용접·접합학회 (NODE10534396, IF: 0.58)"
52,2021,기계공학,845428562,Sung Yi,2,0.0528,0.091004,"대한용접·접합학회 (NODE10534394, IF: 0.58)
대한용접·접합학회 (NODE10534396, IF: 0.58)"
53,2021,기계공학,759388378,이재철,3,0.0518,0.147881,"한국생산제조학회 (NODE10754280, IF: 0.35)
한국생산제조학회 (NODE10754285, IF: 0.35)
한국생산제조학회 (NODE10592052, IF: 0.35)"
54,2021,기계공학,524594494,강민정,7,0.051,0.087901,"대한용접·접합학회 (NODE10552440, IF: 0.58)
대한용접·접합학회 (NODE10552441, IF: 0.58)
대한용접·접합학회 (NODE10552442, IF: 0.58)
대한용접·접합학회 (NODE10621443, IF: 0.58)
대한용접·접합학회 (NODE10534398, IF: 0.58)
대한용접·접합학회 (NODE10534399, IF: 0.58)
대한용접·접합학회 (NODE10818930, IF: 0.58)"
55,2021,기계공학,640836562,황인성,5,0.0474,0.081697,"대한용접·접합학회 (NODE10571597, IF: 0.58)
대한용접·접합학회 (NODE10621436, IF: 0.58)
대한용접·접합학회 (NODE10621437, IF: 0.58)
대한용접·접합학회 (NODE10621438, IF: 0.58)
대한용접·접합학회 (NODE10621449, IF: 0.58)"
56,2021,기계공학,119431495,유지영,4,0.0474,0.081697,"대한용접·접합학회 (NODE10571597, IF: 0.58)
대한용접·접합학회 (NODE10621436, IF: 0.58)
대한용접·접합학회 (NODE10621437, IF: 0.58)
대한용접·접합학회 (NODE10621438, IF: 0.58)"
57,2021,기계공학,338417743,이연원,3,0.0468,0.137539,"한국동력기계공학회 (NODE10621147, IF: 0.42)
한국마린엔지니어링학회 (NODE10600363, IF: 0.34)
한국마린엔지니어링학회 (NODE10600365, IF: 0.34)"
58,2021,기계공학,894814463,이성,5,0.0462,0.079628,"대한용접·접합학회 (NODE10571589, IF: 0.58)
대한용접·접합학회 (NODE10534395, IF: 0.58)
대한용접·접합학회 (NODE10534397, IF: 0.58)
대한용접·접합학회 (NODE10534398, IF: 0.58)
대한용접·접합학회 (NODE10534399, IF: 0.58)"
59,2021,기계공학,285115170,문두환,2,0.0456,0.040331,"대한기계학회 (NODE10620353, IF: 0.38)
(사)한국CDE학회 (NODE10671865, IF: 1.13)"
60,2021,기계공학,736465842,양정삼,2,0.0456,0.040331,"(사)한국CDE학회 (NODE10597377, IF: 1.13)
(사)한국CDE학회 (NODE10671884, IF: 1.13)"
61,2021,기계공학,245788884,이원용,1,0.0456,0.040331,"(사)한국CDE학회 (NODE10671865, IF: 1.13)"
62,2021,기계공학,815208617,김미주,1,0.0456,0.040331,"(사)한국CDE학회 (NODE10671865, IF: 1.13)"
63,2021,기계공학,124465272,김형기,1,0.0456,0.040331,"(사)한국CDE학회 (NODE10671865, IF: 1.13)"
64,2021,기계공학,310302672,나건열,1,0.0456,0.040331,"(사)한국CDE학회 (NODE10671884, IF: 1.13)"
65,2021,기계공학,981789569,천상욱,1,0.0456,0.040331,"(사)한국CDE학회 (NODE10671884, IF: 1.13)"
66,2021,기계공학,299360789,박상근,1,0.0456,0.040331,"(사)한국CDE학회 (NODE10560851, IF: 1.13)"
67,2021,기계공학,141678700,류제민,1,0.0456,0.040331,"(사)한국CDE학회 (NODE10560859, IF: 1.13)"
68,2021,기계공학,488852589,마정목,1,0.0456,0.040331,"(사)한국CDE학회 (NODE10560859, IF: 1.13)"
69,2021,기계공학,183694775,양호성,2,0.045,0.13236900000000001,"한국유체기계학회 (NODE10552213, IF: 0.48)
한국마린엔지니어링학회 (NODE10622425, IF: 0.34)"
70,2021,기계공학,307513587,이영호,2,0.045,0.13236900000000001,"한국유체기계학회 (NODE10552213, IF: 0.48)
한국마린엔지니어링학회 (NODE10622425, IF: 0.34)"
71,2021,기계공학,455401193,Min-Sung Kim,1,0.045,0.13236900000000001,"한국마린엔지니어링학회 (NODE10622425, IF: 0.34)"
72,2021,기계공학,697268714,Dylan S. Edirisinghe,1,0.045,0.13236900000000001,"한국마린엔지니어링학회 (NODE10622425, IF: 0.34)"
