Year,NODE_CLSS_02,논문수,학회_순위(IF)
2025,건축공학,2083,"1. 대한환경공학회 (1.76)
2. 대한국토·도시계획학회 (1.25)
3. 대한공간정보학회 (0.82)
4. 한국암반공학회 (0.64)
5. 대한건축학회 (0.64)
6. 한국측량학회 (0.57)
7. 한국생태환경건축학회 (0.56)
8. 대한토목학회 (0.56)
9. 한국강구조학회 (0.52)
10. 한국지반공학회 (0.48)
11. 한국콘크리트학회 (0.44)
12. 한국해안해양공학회 (0.44)
13. 한국자원공학회 (0.43)
14. 한국가스학회 (0.43)
15. 한국건축친환경설비학회 (0.38)
16. 한국건설순환자원학회 (0.37)
17. 한국지반신소재학회 (0.26)
18. 한국지열·수열에너지학회 (0.22)
19. 한국지반환경공학회 (0.17)
20. 서울대학교 환경대학원 (0.00)"
2025,공학 일반,1129,"1. 한국산업정보학회 (1.25)
2. 한국산학기술학회 (0.94)
3. 한국센서학회 (0.11)"
2025,기계공학,2264,"1. 한국수소및신에너지학회 (0.83)
2. 대한설비공학회 (0.82)
3. 한국연소학회 (0.76)
4. 대한용접·접합학회 (0.63)
5. 한국트라이볼로지학회 (0.54)
6. 한국에너지기후변화학회 (0.49)
7. 한국자동차공학회 (0.47)
8. 한국전산유체공학회 (0.45)
9. 한국항공우주학회 (0.40)
10. 한국비파괴검사학회 (0.36)
11. 대한기계학회 (0.34)
12. 한국마린엔지니어링학회 (0.33)
13. 한국생산제조학회 (0.33)
14. 항공우주시스템공학회 (0.32)
15. 한국소음진동공학회 (0.31)
16. 한국기계가공학회 (0.29)
17. 한국추진공학회 (0.28)
18. 한국동력기계공학회 (0.26)
19. 한국유체기계학회 (0.22)
20. 한국표면공학회 (0.18)
21. (사)한국CDE학회 (0.00)
22. Korean Society for Precision Engineering (0.00)
23. 세종대학교 우주항공산업연구소 (0.00)
24. 유공압건설기계학회 (0.00)
25. 한국기계연구원 (0.00)
26. 한국자동차안전학회 (0.00)
27. 한국항공우주연구원 (0.00)
28. 한국환경에너지공학회 (0.00)"
2025,기타 공학,329,"1. 대한교통학회 (1.07)
2. 한국위험물학회 (0.56)
3. 한국재활복지공학회 (0.39)
4. 한국철도학회 (0.38)
5. 한국게임학회 (0.00)"
2025,산업공학,224,"1. 한국지능정보시스템학회 (1.76)
2. 한국신뢰성학회 (0.61)
3. 한국SCM학회 (0.43)
4. 대한산업공학회 (0.42)
5. 대한인간공학회 (0.40)"
2025,재료·에너지공학,221,"1. 한국신재생에너지학회 (0.69)
2. 한국태양에너지학회 (0.52)
3. 한국태양광발전학회 (0.42)
4. 한국에너지학회 (0.23)
5. 한국소성·가공학회 (0.20)
6. 한국압력기기공학회 (0.15)"
2025,전기전자공학,3324,"1. 제어로봇시스템학회 (0.84)
2. 한국정보기술학회 (0.63)
3. 국방로봇학회 (0.59)
4. 한국정보전자통신기술학회 (0.50)
5. 한국멀티미디어학회 (0.50)
6. 한국지능시스템학회 (0.47)
7. 한국로봇학회 (0.44)
8. 한국방송·미디어공학회 (0.43)
9. 한국정보통신학회 (0.42)
10. 한국전자파학회 (0.41)
11. 한국도시철도학회 (0.40)
12. 국제인공지능학회 (0.40)
13. 전력전자학회 (0.38)
14. 한국통신학회 (0.35)
15. 대한전기학회 (0.32)
16. 대한전자공학회 (0.26)
17. 한국가시화정보학회 (0.25)
18. 한국조명·전기설비학회 (0.16)
19. 한국전기전자학회 (0.16)
20. 한국로봇학회(논문지) (0.00)
21. 한국전자파학회JEES (0.00)
22. 한국전지학회 (0.00)
23. 한국정보통신학회JICCE (0.00)
24. 한국콘텐츠학회(IJOC) (0.00)"
2025,조선해양공학,256,"1. 대한조선학회 (0.92)
2. 한국해양공학회 (0.68)
3. 한국해양환경·에너지학회 (0.00)"
2025,컴퓨터학,1241,"1. 한국전자거래학회 (1.58)
2. 한국디지털콘텐츠학회 (1.28)
3. 한국컴퓨터정보학회 (0.81)
4. 한국디지털포렌식학회 (0.72)
5. 한국정보보호학회 (0.41)
6. ICT플랫폼학회 (0.00)
7. Korean Institute of Information Scientists and Engineers (0.00)
8. 한국컴퓨터그래픽스학회 (0.00)"
2025,화학공학,228,"1. 한국청정기술학회 (0.92)
2. 한국고분자학회 (0.77)
3. 한국생물공학회 (0.52)"
