Year,NODE_CLSS_02,논문수,학회_순위(IF)
2022,건축공학,2333,"1. 국토계획 (1.2651)
2. 대한공간정보학회지 (0.8933)
3. 한국자원공학회지 (0.8667)
4. 터널과 지하공간 (0.6543)
5. 대한건축학회논문집 (0.65)
6. 한국측량학회지 (0.6364)
7. 한국해안·해양공학회논문집 (0.6304)
8. 대한환경공학회지 (0.6165)
9. KIEAE Journal (0.5698)
10. 한국지반공학회논문집 (0.5528)
11. 한국강구조학회 논문집 (0.5062)
12. 한국건축친환경설비학회 논문집 (0.442)
13. 콘크리트학회 논문집 (0.4333)
14. 한국지열·수열에너지학회논문집 (0.4194)
15. 한국지반환경공학회 논문집 (0.3944)
16. 한국가스학회지 (0.354)
17. 한국지반신소재학회 논문집 (0.2632)
18. Environmental Engineering Research (0.2391)
19. International Journal of Concrete Structures and Materials (0.2182)
20. ARCHITECTURAL RESEARCH (0)
21. 건축과사회 (0)
22. 건축환경설비 (0)
23. 대한토목학회지 (0)
24. 도시정보 (0)
25. 지반(한국지반공학회지) (0)
26. 지반환경 (0)
27. 콘크리트학회지 (0)
28. 한국강구조학회지 (0)
29. 한국건설순환자원학회논문집 (0)
30. 한국지반신소재학회지 (0)
31. 환경논총 (0)"
2022,공학 일반,1090,"1. 한국산업정보학회논문지 (1.1204)
2. 센서학회지 (0.2215)
3. 한국산학기술학회 논문지 (0)"
2022,기계공학,2591,"1. 한국CDE학회 논문집 (0.766)
2. 에너지기후변화학회지 (0.6875)
3. 한국수소및신에너지학회논문집 (0.6533)
4. 기술과 교육 (0.5517)
5. 비파괴검사학회지 (0.4889)
6. 한국연소학회지 (0.449)
7. 한국소음진동공학회논문집 (0.415)
8. 자동차안전학회지 (0.4133)
9. 동력시스템공학회지 (0.3776)
10. International Journal of Fluid Machinery and Systems (0.3774)
11. 한국생산제조학회지 (0.3681)
12. 한국기계가공학회지 (0.3497)
13. 한국항공우주학회지 (0.3165)
14. 한국추진공학회지 (0.3115)
15. 한국전산유체공학회지 (0.2632)
16. 항공우주시스템공학회지 (0.2632)
17. 한국표면공학회지 (0.2525)
18. 한국유체기계학회 논문집 (0.2289)
19. 환경에너지공학 (0.1304)
20. International Journal of Aerospace System Engineering (0)
21. Journal of Advanced Marine Engineering and Technology (JAMET) (0)
22. Journal of Propulsion and Energy (0)
23. Journal of the Korean Society for Precision Engineering (0)
24. Tribology and Lubricants (0)
25. 기계기술정책 정책지 (0)
26. 기계산업연구 (0)
27. 기계저널 (0)
28. 대한기계학회 논문집 A권 (0)
29. 대한기계학회 논문집 B권 (0)
30. 대한용접·접합학회지 (0)
31. 드라이브·컨트롤 (0)
32. 설비공학논문집 (0)
33. 설비저널 (0)
34. 소음·진동 (0)
35. 오토저널 (0)
36. 한국자동차공학회논문집 (0)
37. 항공우주산업기술동향 (0)
38. 항공진흥 (0)"
2022,기타 공학,418,"1. 대한교통학회지 (1.2222)
2. 재활복지공학회논문지 (0.3898)
3. 교통기술과정책 (0)
4. 철도저널 (0)
5. 한국게임학회 논문지 (0)
6. 한국위험물학회지 (0)
7. 한국철도학회 논문집 (0)"
2022,산업공학,301,"1. 지능정보연구 (1.9016)
2. 대한인간공학회지 (0.4783)
3. 대한산업공학회지 (0.3793)
4. Industrial Engineering & Management Systems (0.205)
5. 신뢰성응용연구 (0)
6. 한국 SCM 학회지 (0)"
2022,재료·에너지공학,299,"1. 한국태양에너지학회 논문집 (0.5098)
2. 에너지공학 (0.4634)
3. 한국염색가공학회지 (0.3889)
4. 한국압력기기공학회 논문집 (0.2564)
5. Current Photovoltaic Research (0.0976)
6. 소성·가공 (0)
7. 신·재생에너지 (0)
8. 태양에너지 (0)
9. 한국태양광발전학회지 (0)"
2022,전기전자공학,3741,"1. 한국지능시스템학회 논문지 (0.7361)
2. 멀티미디어학회논문지 (0.6535)
3. 한국도시철도학회논문집 (0.6379)
4. 로봇학회 논문지 (0.5745)
5. 한국정보기술학회논문지 (0.5565)
6. 한국정보통신학회논문지 (0.5549)
7. 한국인터넷방송통신학회 논문지 (0.5074)
8. 한국정보전자통신기술학회 논문지 (0.4643)
9. 전기학회논문지 (0.3551)
10. 한국통신학회논문지 (0.3351)
11. The International Journal of Advanced Smart Convergence (0.3084)
12. 전자공학회논문지 (0.2761)
13. 전기전자학회논문지 (0.2465)
14. 한국가시화정보학회지 (0.1324)
15. JOURNAL OF SEMICONDUCTOR TECHNOLOGY AND SCIENCE (0.1231)
16. IEIE Transactions on Smart Processing & Computing (0.0781)
17. Broadcasting and Communication (0)
18. INTERNATIONAL JOURNAL of FUZZY LOGIC and INTELLIGENT SYSTEMS (0)
19. International JOURNAL OF CONTENTS (0)
20. Journal of Electromagnetic Engineering And Science (0)
21. Journal of information and communication convergence engineering (0)
22. The International Journal of Internet (0)
23. 국방로봇학회 논문집 (0)
24. 로봇과 인간 (0)
25. 방송공학회논문지 (0)
26. 방송과 미디어 (0)
27. 전기의세계 (0)
28. 전기학회논문지 P (0)
29. 전력전자학회논문지 (0)
30. 전력전자학회지 (0)
31. 전자공학회지 (0)
32. 전자파기술 (0)
33. 제어로봇시스템학회 논문지 (0)
34. 제어로봇시스템학회지 (0)
35. 조명·전기설비 (0)
36. 조명·전기설비학회논문지 (0)
37. 한국전자파학회논문지 (0)
38. 한국전지학회지 (0)
39. 한국정보기술학회지 (0)
40. 한국통신학회지(정보와통신) (0)"
2022,조선해양공학,241,"1. 대한조선학회 논문집 (0.4526)
2. 한국해양공학회지 (0.4271)
3. 대한조선학회지 (0)
4. 한국해양환경·에너지학회지 (0)"
2022,컴퓨터학,1338,"1. 디지털콘텐츠학회논문지 (1.4819)
2. 한국전자거래학회지 (1.3611)
3. 한국컴퓨터정보학회논문지 (0.6945)
4. 디지털포렌식연구 (0.6494)
5. 정보보호학회논문지 (0.3925)
6. 정보과학회 컴퓨팅의 실제 논문지 (0.2722)
7. JOURNAL OF PLATFORM TECHNOLOGY (0)
8. Journal of Computing Science and Engineering (0)
9. Journal of KIISE (0)
10. The Journal of Contents Computing (0)
11. 정보과학회지 (0)
12. 정보보호학회지 (0)
13. 컴퓨터그래픽스학회논문지 (0)
14. 한국컴퓨터정보학회지 (0)"
2022,화학공학,307,"1. KSBB Journal (0.3333)
2. 폴리머 (0.3136)
3. BT NEWS (0)
4. 고분자 과학과 기술 (0)
5. 청정기술 (0)"
