Society_Name
Korean Institute of Information Scientists and Engineers
Korean Society for Precision Engineering
국방로봇학회
새건축사협의회
서울대학교 환경대학원
세종대학교 우주항공산업연구소
한국게임학회
한국기계연구원
한국염색가공학회
한국위험물학회
한국전지학회
한국항공우주연구원
한국항공협회
한국해양환경·에너지학회
한국환경에너지공학회
