Unmatched_Society
Korean Institute of Information Scientists and Engineers
Korean Society for Precision Engineering
새건축사협의회
서울대학교 환경대학원
한국게임학회
한국기계연구원
한국위험물학회
한국전지학회
한국항공협회
한국해양환경·에너지학회
한국환경에너지공학회
